target,t_acc,query,q_acc,evalue,score,sample,contig,query_type,gene_id
RCC970_016A_6,-,MCP_1,-,5.1e-38,127.9,all,RCC970_016A,MCP,all_RCC970_016A_vph_6
HQ712116.1_18,-,MCP_1,-,1.2e-37,126.7,all,HQ712116.1,MCP,all_HQ712116.1_vph_18
BVI_055B_3,-,MCP_1,-,1.8e-37,126.1,all,BVI_055B,MCP,all_BVI_055B_vph_3
BVI_001A_3,-,MCP_1,-,6.4e-33,111.1,all,BVI_001A,MCP,all_BVI_001A_vph_3
BVI_058_13,-,MCP_1,-,6.6e-32,107.7,all,BVI_058,MCP,all_BVI_058_vph_13
E4-10_001_11,-,MCP_1,-,1.3e-24,83.6,all,E4-10_001,MCP,all_E4-10_001_vph_11
3300032893_assembled_Ga0335069_10005211_22,-,MCP_1,-,1.6e-21,73.4,all,3300032893_assembled_Ga0335069_10005211,MCP,all_3300032893_assembled_Ga0335069_10005211_vph_22
3300035696_assembled_Ga0374055_0049619_19,-,MCP_1,-,2.8e-21,72.6,all,3300035696_assembled_Ga0374055_0049619,MCP,all_3300035696_assembled_Ga0374055_0049619_vph_19
3300010885_assembled_Ga0133913_10027335_7,-,MCP_1,-,5.4e-20,68.4,all,3300010885_assembled_Ga0133913_10027335,MCP,all_3300010885_assembled_Ga0133913_10027335_vph_7
3300009182_assembled_Ga0114959_10001102_10,-,MCP_1,-,1.9e-17,60,all,3300009182_assembled_Ga0114959_10001102,MCP,all_3300009182_assembled_Ga0114959_10001102_vph_10
3300010158_assembled_Ga0114960_10000772_23,-,MCP_2,-,1.5e-254,843.1,all,3300010158_assembled_Ga0114960_10000772,MCP,all_3300010158_assembled_Ga0114960_10000772_vph_23
3300009068_assembled_Ga0114973_10000749_13,-,MCP_2,-,1.1e-253,840.2,all,3300009068_assembled_Ga0114973_10000749,MCP,all_3300009068_assembled_Ga0114973_10000749_vph_13
3300009068_assembled_Ga0114973_10000639_13,-,MCP_2,-,1.2e-253,840.1,all,3300009068_assembled_Ga0114973_10000639,MCP,all_3300009068_assembled_Ga0114973_10000639_vph_13
3300009151_assembled_Ga0114962_10000818_11,-,MCP_2,-,8.5e-251,830.6,all,3300009151_assembled_Ga0114962_10000818,MCP,all_3300009151_assembled_Ga0114962_10000818_vph_11
3300010885_assembled_Ga0133913_10012256_4,-,MCP_2,-,2.3e-250,829.2,all,3300010885_assembled_Ga0133913_10012256,MCP,all_3300010885_assembled_Ga0133913_10012256_vph_4
3300009181_assembled_Ga0114969_10000735_6,-,MCP_2,-,1.2e-249,826.9,all,3300009181_assembled_Ga0114969_10000735,MCP,all_3300009181_assembled_Ga0114969_10000735_vph_6
3300010885_assembled_Ga0133913_10008424_3,-,MCP_2,-,7.9e-249,824.1,all,3300010885_assembled_Ga0133913_10008424,MCP,all_3300010885_assembled_Ga0133913_10008424_vph_3
3300006109_assembled_Ga0007870_1000162_16,-,MCP_2,-,2.5e-247,819.2,all,3300006109_assembled_Ga0007870_1000162,MCP,all_3300006109_assembled_Ga0007870_1000162_vph_16
3300027763_assembled_Ga0209088_10000481_6,-,MCP_2,-,6.6e-247,817.8,all,3300027763_assembled_Ga0209088_10000481,MCP,all_3300027763_assembled_Ga0209088_10000481_vph_6
3300009184_assembled_Ga0114976_10000413_2,-,MCP_2,-,1.2e-245,813.6,all,3300009184_assembled_Ga0114976_10000413,MCP,all_3300009184_assembled_Ga0114976_10000413_vph_2
3300010885_assembled_Ga0133913_10008183_1,-,MCP_2,-,8.7e-244,807.5,all,3300010885_assembled_Ga0133913_10008183,MCP,all_3300010885_assembled_Ga0133913_10008183_vph_1
3300025838_assembled_Ga0208872_1000426_5,-,MCP_2,-,2.1e-243,806.2,all,3300025838_assembled_Ga0208872_1000426,MCP,all_3300025838_assembled_Ga0208872_1000426_vph_5
3300002091_assembled_JGI24028J26656_1000152_13,-,MCP_2,-,4.9e-243,805,all,3300002091_assembled_JGI24028J26656_1000152,MCP,all_3300002091_assembled_JGI24028J26656_1000152_vph_13
3300009684_assembled_Ga0114958_10000782_25,-,MCP_2,-,2.4e-237,786.2,all,3300009684_assembled_Ga0114958_10000782,MCP,all_3300009684_assembled_Ga0114958_10000782_vph_25
3300010885_assembled_Ga0133913_10007194_15,-,MCP_2,-,3e-228,756.2,all,3300010885_assembled_Ga0133913_10007194,MCP,all_3300010885_assembled_Ga0133913_10007194_vph_15
3300007735_assembled_Ga0104988_10753_21,-,MCP_2,-,8.4e-220,728.3,all,3300007735_assembled_Ga0104988_10753,MCP,all_3300007735_assembled_Ga0104988_10753_vph_21
3300010885_assembled_Ga0133913_10011015_6,-,MCP_2,-,1.2e-210,698.1,all,3300010885_assembled_Ga0133913_10011015,MCP,all_3300010885_assembled_Ga0133913_10011015_vph_6
3300010885_assembled_Ga0133913_10017077_19,-,MCP_2,-,3.4e-197,653.6,all,3300010885_assembled_Ga0133913_10017077,MCP,all_3300010885_assembled_Ga0133913_10017077_vph_19
3300027749_assembled_Ga0209084_1000714_21,-,MCP_2,-,1.1e-179,595.9,all,3300027749_assembled_Ga0209084_1000714,MCP,all_3300027749_assembled_Ga0209084_1000714_vph_21
3300010885_assembled_Ga0133913_10009135_7,-,MCP_2,-,3e-142,472.2,all,3300010885_assembled_Ga0133913_10009135,MCP,all_3300010885_assembled_Ga0133913_10009135_vph_7
3300010885_assembled_Ga0133913_10010443_8,-,MCP_2,-,3.3e-135,448.9,all,3300010885_assembled_Ga0133913_10010443,MCP,all_3300010885_assembled_Ga0133913_10010443_vph_8
3300009180_assembled_Ga0114979_10000767_5,-,MCP_2,-,1.1e-134,447.2,all,3300009180_assembled_Ga0114979_10000767,MCP,all_3300009180_assembled_Ga0114979_10000767_vph_5
3300010334_assembled_Ga0136644_10000572_31,-,MCP_2,-,1.2e-133,443.8,all,3300010334_assembled_Ga0136644_10000572,MCP,all_3300010334_assembled_Ga0136644_10000572_vph_31
3300027708_assembled_Ga0209188_1000973_21,-,MCP_2,-,3e-132,439.1,all,3300027708_assembled_Ga0209188_1000973,MCP,all_3300027708_assembled_Ga0209188_1000973_vph_21
3300027793_assembled_Ga0209972_10000880_22,-,MCP_2,-,3.6e-130,432.3,all,3300027793_assembled_Ga0209972_10000880,MCP,all_3300027793_assembled_Ga0209972_10000880_vph_22
3300010354_assembled_Ga0129333_10000799_16,-,MCP_2,-,8.6e-127,421.1,all,3300010354_assembled_Ga0129333_10000799,MCP,all_3300010354_assembled_Ga0129333_10000799_vph_16
3300002835_assembled_B570J40625_100004419_14,-,MCP_2,-,6e-124,411.7,all,3300002835_assembled_B570J40625_100004419,MCP,all_3300002835_assembled_B570J40625_100004419_vph_14
3300009163_assembled_Ga0114970_10000439_25,-,MCP_2,-,6e-123,408.4,all,3300009163_assembled_Ga0114970_10000439,MCP,all_3300009163_assembled_Ga0114970_10000439_vph_25
3300009151_assembled_Ga0114962_10000842_12,-,MCP_2,-,7.3e-123,408.1,all,3300009151_assembled_Ga0114962_10000842,MCP,all_3300009151_assembled_Ga0114962_10000842_vph_12
OL828819.1_19,-,MCP_2,-,1.7e-122,406.9,all,OL828819.1,MCP,all_OL828819.1_vph_19
3300027973_assembled_Ga0209298_10000424_9,-,MCP_2,-,4.2e-118,392.4,all,3300027973_assembled_Ga0209298_10000424,MCP,all_3300027973_assembled_Ga0209298_10000424_vph_9
3300010885_assembled_Ga0133913_10009566_22,-,MCP_2,-,5.4e-118,392.1,all,3300010885_assembled_Ga0133913_10009566,MCP,all_3300010885_assembled_Ga0133913_10009566_vph_22
3300010885_assembled_Ga0133913_10013167_20,-,MCP_2,-,9.7e-118,391.2,all,3300010885_assembled_Ga0133913_10013167,MCP,all_3300010885_assembled_Ga0133913_10013167_vph_20
3300007540_assembled_Ga0099847_1000087_17,-,MCP_2,-,1.8e-117,390.3,all,3300007540_assembled_Ga0099847_1000087,MCP,all_3300007540_assembled_Ga0099847_1000087_vph_17
3300009183_assembled_Ga0114974_10000518_25,-,MCP_2,-,3.8e-117,389.3,all,3300009183_assembled_Ga0114974_10000518,MCP,all_3300009183_assembled_Ga0114974_10000518_vph_25
3300005582_assembled_Ga0049080_10000091_17,-,MCP_2,-,7.9e-117,388.2,all,3300005582_assembled_Ga0049080_10000091,MCP,all_3300005582_assembled_Ga0049080_10000091_vph_17
3300010885_assembled_Ga0133913_10015411_6,-,MCP_2,-,1.6e-114,380.6,all,3300010885_assembled_Ga0133913_10015411,MCP,all_3300010885_assembled_Ga0133913_10015411_vph_6
KJ854379.1_18,-,MCP_2,-,2e-114,380.3,all,KJ854379.1,MCP,all_KJ854379.1_vph_18
3300006916_assembled_Ga0070750_10000267_4,-,MCP_2,-,3.6e-114,379.4,all,3300006916_assembled_Ga0070750_10000267,MCP,all_3300006916_assembled_Ga0070750_10000267_vph_4
3300009181_assembled_Ga0114969_10001288_4,-,MCP_2,-,7.6e-114,378.4,all,3300009181_assembled_Ga0114969_10001288,MCP,all_3300009181_assembled_Ga0114969_10001288_vph_4
3300007734_assembled_Ga0104986_1721_23,-,MCP_2,-,1.2e-111,371.1,all,3300007734_assembled_Ga0104986_1721,MCP,all_3300007734_assembled_Ga0104986_1721_vph_23
3300027769_assembled_Ga0209770_10000312_16,-,MCP_2,-,2.2e-110,366.9,all,3300027769_assembled_Ga0209770_10000312,MCP,all_3300027769_assembled_Ga0209770_10000312_vph_16
3300005747_assembled_Ga0076924_1015279_11,-,MCP_2,-,3.5e-108,359.7,all,3300005747_assembled_Ga0076924_1015279,MCP,all_3300005747_assembled_Ga0076924_1015279_vph_11
3300007734_assembled_Ga0104986_1721_22,-,MCP_2,-,8.9e-108,358.3,all,3300007734_assembled_Ga0104986_1721,MCP,all_3300007734_assembled_Ga0104986_1721_vph_22
3300009151_assembled_Ga0114962_10000842_13,-,MCP_2,-,4.9e-107,355.9,all,3300009151_assembled_Ga0114962_10000842,MCP,all_3300009151_assembled_Ga0114962_10000842_vph_13
3300025401_assembled_Ga0207955_1000104_9,-,MCP_2,-,2.7e-106,353.4,all,3300025401_assembled_Ga0207955_1000104,MCP,all_3300025401_assembled_Ga0207955_1000104_vph_9
3300010885_assembled_Ga0133913_10009934_10,-,MCP_2,-,9.3e-103,341.7,all,3300010885_assembled_Ga0133913_10009934,MCP,all_3300010885_assembled_Ga0133913_10009934_vph_10
3300009500_assembled_Ga0116229_10007006_18,-,MCP_2,-,7.6e-102,338.7,all,3300009500_assembled_Ga0116229_10007006,MCP,all_3300009500_assembled_Ga0116229_10007006_vph_18
3300027777_assembled_Ga0209829_10000789_16,-,MCP_2,-,1.1e-101,338.2,all,3300027777_assembled_Ga0209829_10000789,MCP,all_3300027777_assembled_Ga0209829_10000789_vph_16
3300025487_assembled_Ga0208105_1000377_1,-,MCP_2,-,1.2e-101,338.1,all,3300025487_assembled_Ga0208105_1000377,MCP,all_3300025487_assembled_Ga0208105_1000377_vph_1
3300023174_assembled_Ga0214921_10004023_19,-,MCP_2,-,1.9e-101,337.4,all,3300023174_assembled_Ga0214921_10004023,MCP,all_3300023174_assembled_Ga0214921_10004023_vph_19
3300009154_assembled_Ga0114963_10000587_15,-,MCP_2,-,1.2e-98,328.2,all,3300009154_assembled_Ga0114963_10000587,MCP,all_3300009154_assembled_Ga0114963_10000587_vph_15
3300027769_assembled_Ga0209770_10000312_15,-,MCP_2,-,4.5e-92,306.5,all,3300027769_assembled_Ga0209770_10000312,MCP,all_3300027769_assembled_Ga0209770_10000312_vph_15
3300014492_assembled_Ga0182013_10004328_13,-,MCP_2,-,1.5e-90,301.4,all,3300014492_assembled_Ga0182013_10004328,MCP,all_3300014492_assembled_Ga0182013_10004328_vph_13
KC556925.1_13,-,MCP_2,-,8.1e-89,295.7,all,KC556925.1,MCP,all_KC556925.1_vph_13
3300006114_assembled_Ga0007815_1000154_12,-,MCP_2,-,4.4e-88,293.3,all,3300006114_assembled_Ga0007815_1000154,MCP,all_3300006114_assembled_Ga0007815_1000154_vph_12
3300009183_assembled_Ga0114974_10001000_14,-,MCP_2,-,2.1e-87,291,all,3300009183_assembled_Ga0114974_10001000,MCP,all_3300009183_assembled_Ga0114974_10001000_vph_14
JN603370.1_20,-,MCP_2,-,4.4e-87,290,all,JN603370.1,MCP,all_JN603370.1_vph_20
3300017971_assembled_Ga0180438_10003911_13,-,MCP_2,-,3.1e-86,287.2,all,3300017971_assembled_Ga0180438_10003911,MCP,all_3300017971_assembled_Ga0180438_10003911_vph_13
MG807318.2_12,-,MCP_2,-,1.3e-85,285.1,all,MG807318.2,MCP,all_MG807318.2_vph_12
3300017963_assembled_Ga0180437_10003822_12,-,MCP_2,-,5.6e-85,283,all,3300017963_assembled_Ga0180437_10003822,MCP,all_3300017963_assembled_Ga0180437_10003822_vph_12
3300013094_assembled_Ga0164297_10001420_17,-,MCP_2,-,7.1e-85,282.7,all,3300013094_assembled_Ga0164297_10001420,MCP,all_3300013094_assembled_Ga0164297_10001420_vph_17
3300019487_assembled_Ga0187893_10009394_18,-,MCP_2,-,2.3e-84,281,all,3300019487_assembled_Ga0187893_10009394,MCP,all_3300019487_assembled_Ga0187893_10009394_vph_18
3300032770_assembled_Ga0335085_10008907_19,-,MCP_2,-,5.4e-84,279.8,all,3300032770_assembled_Ga0335085_10008907,MCP,all_3300032770_assembled_Ga0335085_10008907_vph_19
3300009548_assembled_Ga0116107_1001113_14,-,MCP_2,-,2.2e-80,267.9,all,3300009548_assembled_Ga0116107_1001113,MCP,all_3300009548_assembled_Ga0116107_1001113_vph_14
3300029911_assembled_Ga0311361_10011007_2,-,MCP_2,-,8.4e-80,265.9,all,3300029911_assembled_Ga0311361_10011007,MCP,all_3300029911_assembled_Ga0311361_10011007_vph_2
3300024254_assembled_Ga0247661_1000063_8,-,MCP_2,-,4.6e-78,260.2,all,3300024254_assembled_Ga0247661_1000063,MCP,all_3300024254_assembled_Ga0247661_1000063_vph_8
3300032665_assembled_Ga0316221_1001987_1,-,MCP_2,-,8.7e-78,259.3,all,3300032665_assembled_Ga0316221_1001987,MCP,all_3300032665_assembled_Ga0316221_1001987_vph_1
3300009111_assembled_Ga0115026_10000109_6,-,MCP_2,-,9.3e-78,259.2,all,3300009111_assembled_Ga0115026_10000109,MCP,all_3300009111_assembled_Ga0115026_10000109_vph_6
3300021168_assembled_Ga0210406_10003258_8,-,MCP_2,-,1.9e-76,254.9,all,3300021168_assembled_Ga0210406_10003258,MCP,all_3300021168_assembled_Ga0210406_10003258_vph_8
3300002092_assembled_JGI24218J26658_1000290_33,-,MCP_2,-,1.4e-75,252,all,3300002092_assembled_JGI24218J26658_1000290,MCP,all_3300002092_assembled_JGI24218J26658_1000290_vph_33
3300028413_assembled_Ga0306870_1000093_9,-,MCP_2,-,3.6e-73,244,all,3300028413_assembled_Ga0306870_1000093,MCP,all_3300028413_assembled_Ga0306870_1000093_vph_9
3300025646_assembled_Ga0208161_1000494_20,-,MCP_2,-,1e-71,239.2,all,3300025646_assembled_Ga0208161_1000494,MCP,all_3300025646_assembled_Ga0208161_1000494_vph_20
3300002835_assembled_B570J40625_100005612_17,-,MCP_2,-,4.7e-68,227.1,all,3300002835_assembled_B570J40625_100005612,MCP,all_3300002835_assembled_B570J40625_100005612_vph_17
3300010885_assembled_Ga0133913_10013256_19,-,MCP_2,-,4.1e-67,224,all,3300010885_assembled_Ga0133913_10013256,MCP,all_3300010885_assembled_Ga0133913_10013256_vph_19
3300009091_assembled_Ga0102851_10000522_2,-,MCP_2,-,5.1e-66,220.4,all,3300009091_assembled_Ga0102851_10000522,MCP,all_3300009091_assembled_Ga0102851_10000522_vph_2
3300000439_assembled_TBL_comb48_EPIDRAFT_1001871_13,-,MCP_2,-,7.6e-66,219.8,all,3300000439_assembled_TBL_comb48_EPIDRAFT_1001871,MCP,all_3300000439_assembled_TBL_comb48_EPIDRAFT_1001871_vph_13
3300025736_assembled_Ga0207997_1001135_10,-,MCP_2,-,2.2e-65,218.3,all,3300025736_assembled_Ga0207997_1001135,MCP,all_3300025736_assembled_Ga0207997_1001135_vph_10
3300017971_assembled_Ga0180438_10002894_8,-,MCP_2,-,2.4e-64,214.9,all,3300017971_assembled_Ga0180438_10002894,MCP,all_3300017971_assembled_Ga0180438_10002894_vph_8
3300032893_assembled_Ga0335069_10005211_21,-,MCP_2,-,1.1e-62,209.4,all,3300032893_assembled_Ga0335069_10005211,MCP,all_3300032893_assembled_Ga0335069_10005211_vph_21
3300009182_assembled_Ga0114959_10001102_9,-,MCP_2,-,9.7e-59,196.4,all,3300009182_assembled_Ga0114959_10001102,MCP,all_3300009182_assembled_Ga0114959_10001102_vph_9
3300007541_assembled_Ga0099848_1000221_17,-,MCP_2,-,8.7e-58,193.2,all,3300007541_assembled_Ga0099848_1000221,MCP,all_3300007541_assembled_Ga0099848_1000221_vph_17
3300009151_assembled_Ga0114962_10001691_9,-,MCP_2,-,2.7e-57,191.6,all,3300009151_assembled_Ga0114962_10001691,MCP,all_3300009151_assembled_Ga0114962_10001691_vph_9
3300010885_assembled_Ga0133913_10027335_6,-,MCP_2,-,3.6e-57,191.2,all,3300010885_assembled_Ga0133913_10027335,MCP,all_3300010885_assembled_Ga0133913_10027335_vph_6
3300035696_assembled_Ga0374055_0049619_20,-,MCP_2,-,5e-57,190.7,all,3300035696_assembled_Ga0374055_0049619,MCP,all_3300035696_assembled_Ga0374055_0049619_vph_20
3300021438_assembled_Ga0213920_1000796_16,-,MCP_2,-,1.6e-54,182.5,all,3300021438_assembled_Ga0213920_1000796,MCP,all_3300021438_assembled_Ga0213920_1000796_vph_16
3300018022_assembled_Ga0187864_10002390_17,-,MCP_2,-,3e-49,165,all,3300018022_assembled_Ga0187864_10002390,MCP,all_3300018022_assembled_Ga0187864_10002390_vph_17
KM502591.1_19,-,MCP_2,-,6.7e-42,140.8,all,KM502591.1,MCP,all_KM502591.1_vph_19
3300009151_assembled_Ga0114962_10001373_20,-,MCP_2,-,1.9e-41,139.2,all,3300009151_assembled_Ga0114962_10001373,MCP,all_3300009151_assembled_Ga0114962_10001373_vph_20
3300009160_assembled_Ga0114981_10001519_6,-,MCP_2,-,9.6e-41,136.9,all,3300009160_assembled_Ga0114981_10001519,MCP,all_3300009160_assembled_Ga0114981_10001519_vph_6
3300014204_assembled_Ga0172381_10002270_24,-,MCP_2,-,1.4e-40,136.4,all,3300014204_assembled_Ga0172381_10002270,MCP,all_3300014204_assembled_Ga0172381_10002270_vph_24
3300010413_assembled_Ga0136851_10008908_2,-,MCP_2,-,5.1e-37,124.7,all,3300010413_assembled_Ga0136851_10008908,MCP,all_3300010413_assembled_Ga0136851_10008908_vph_2
3300010885_assembled_Ga0133913_10027335_7,-,MCP_2,-,1.6e-35,119.7,all,3300010885_assembled_Ga0133913_10027335,MCP,all_3300010885_assembled_Ga0133913_10027335_vph_7
3300010885_assembled_Ga0133913_10012712_4,-,MCP_2,-,2.3e-35,119.2,all,3300010885_assembled_Ga0133913_10012712,MCP,all_3300010885_assembled_Ga0133913_10012712_vph_4
3300010413_assembled_Ga0136851_10008908_3,-,MCP_2,-,1.8e-33,112.9,all,3300010413_assembled_Ga0136851_10008908,MCP,all_3300010413_assembled_Ga0136851_10008908_vph_3
3300010885_assembled_Ga0133913_10011061_25,-,MCP_2,-,3.1e-33,112.1,all,3300010885_assembled_Ga0133913_10011061,MCP,all_3300010885_assembled_Ga0133913_10011061_vph_25
3300032665_assembled_Ga0316221_1001987_23,-,MCP_2,-,1.2e-29,100.3,all,3300032665_assembled_Ga0316221_1001987,MCP,all_3300032665_assembled_Ga0316221_1001987_vph_23
3300018022_assembled_Ga0187864_10002390_1,-,MCP_2,-,1.5e-25,86.7,all,3300018022_assembled_Ga0187864_10002390,MCP,all_3300018022_assembled_Ga0187864_10002390_vph_1
3300005831_assembled_Ga0074471_10193221_21,-,MCP_2,-,1.7e-22,76.7,all,3300005831_assembled_Ga0074471_10193221,MCP,all_3300005831_assembled_Ga0074471_10193221_vph_21
3300002835_assembled_B570J40625_100006411_3,-,MCP_2,-,2.4e-19,66.3,all,3300002835_assembled_B570J40625_100006411,MCP,all_3300002835_assembled_B570J40625_100006411_vph_3
Cflag_017B_11,-,MCP_2,-,3.2e-19,65.9,all,Cflag_017B,MCP,all_Cflag_017B_vph_11
3300009085_assembled_Ga0105103_10000772_2,-,MCP_2,-,8.3e-19,64.5,all,3300009085_assembled_Ga0105103_10000772,MCP,all_3300009085_assembled_Ga0105103_10000772_vph_2
JN603370.1_20,-,MCP_3,-,3.5e-40,135.2,all,JN603370.1,MCP,all_JN603370.1_vph_20
3300010885_assembled_Ga0133913_10009135_7,-,MCP_3,-,4.6e-40,134.8,all,3300010885_assembled_Ga0133913_10009135,MCP,all_3300010885_assembled_Ga0133913_10009135_vph_7
MG807318.2_12,-,MCP_3,-,8.1e-39,130.7,all,MG807318.2,MCP,all_MG807318.2_vph_12
3300010885_assembled_Ga0133913_10011061_25,-,MCP_3,-,6.2e-38,127.7,all,3300010885_assembled_Ga0133913_10011061,MCP,all_3300010885_assembled_Ga0133913_10011061_vph_25
3300009163_assembled_Ga0114970_10000439_25,-,MCP_3,-,1.2e-37,126.8,all,3300009163_assembled_Ga0114970_10000439,MCP,all_3300009163_assembled_Ga0114970_10000439_vph_25
3300009091_assembled_Ga0102851_10000522_2,-,MCP_3,-,1.6e-37,126.4,all,3300009091_assembled_Ga0102851_10000522,MCP,all_3300009091_assembled_Ga0102851_10000522_vph_2
3300010354_assembled_Ga0129333_10000799_16,-,MCP_3,-,2.8e-37,125.6,all,3300010354_assembled_Ga0129333_10000799,MCP,all_3300010354_assembled_Ga0129333_10000799_vph_16
3300027708_assembled_Ga0209188_1000973_21,-,MCP_3,-,7.5e-37,124.2,all,3300027708_assembled_Ga0209188_1000973,MCP,all_3300027708_assembled_Ga0209188_1000973_vph_21
3300029911_assembled_Ga0311361_10011007_2,-,MCP_3,-,1.4e-36,123.3,all,3300029911_assembled_Ga0311361_10011007,MCP,all_3300029911_assembled_Ga0311361_10011007_vph_2
3300009500_assembled_Ga0116229_10007006_18,-,MCP_3,-,4.4e-36,121.6,all,3300009500_assembled_Ga0116229_10007006,MCP,all_3300009500_assembled_Ga0116229_10007006_vph_18
3300009180_assembled_Ga0114979_10000767_5,-,MCP_3,-,1.6e-35,119.7,all,3300009180_assembled_Ga0114979_10000767,MCP,all_3300009180_assembled_Ga0114979_10000767_vph_5
OL828819.1_19,-,MCP_3,-,1.7e-35,119.7,all,OL828819.1,MCP,all_OL828819.1_vph_19
3300027769_assembled_Ga0209770_10000312_16,-,MCP_3,-,5.1e-35,118.1,all,3300027769_assembled_Ga0209770_10000312,MCP,all_3300027769_assembled_Ga0209770_10000312_vph_16
3300024254_assembled_Ga0247661_1000063_8,-,MCP_3,-,4.1e-34,115.1,all,3300024254_assembled_Ga0247661_1000063,MCP,all_3300024254_assembled_Ga0247661_1000063_vph_8
3300000439_assembled_TBL_comb48_EPIDRAFT_1001871_13,-,MCP_3,-,3.7e-33,112,all,3300000439_assembled_TBL_comb48_EPIDRAFT_1001871,MCP,all_3300000439_assembled_TBL_comb48_EPIDRAFT_1001871_vph_13
3300002835_assembled_B570J40625_100004419_14,-,MCP_3,-,3.8e-33,111.9,all,3300002835_assembled_B570J40625_100004419,MCP,all_3300002835_assembled_B570J40625_100004419_vph_14
3300010885_assembled_Ga0133913_10015411_6,-,MCP_3,-,6.1e-33,111.2,all,3300010885_assembled_Ga0133913_10015411,MCP,all_3300010885_assembled_Ga0133913_10015411_vph_6
3300013094_assembled_Ga0164297_10001420_17,-,MCP_3,-,1e-32,110.5,all,3300013094_assembled_Ga0164297_10001420,MCP,all_3300013094_assembled_Ga0164297_10001420_vph_17
3300009548_assembled_Ga0116107_1001113_14,-,MCP_3,-,1.6e-32,109.9,all,3300009548_assembled_Ga0116107_1001113,MCP,all_3300009548_assembled_Ga0116107_1001113_vph_14
3300032770_assembled_Ga0335085_10008907_19,-,MCP_3,-,2.3e-32,109.4,all,3300032770_assembled_Ga0335085_10008907,MCP,all_3300032770_assembled_Ga0335085_10008907_vph_19
3300010885_assembled_Ga0133913_10010443_8,-,MCP_3,-,4.3e-32,108.4,all,3300010885_assembled_Ga0133913_10010443,MCP,all_3300010885_assembled_Ga0133913_10010443_vph_8
3300010885_assembled_Ga0133913_10008183_1,-,MCP_3,-,7.6e-32,107.6,all,3300010885_assembled_Ga0133913_10008183,MCP,all_3300010885_assembled_Ga0133913_10008183_vph_1
3300027973_assembled_Ga0209298_10000424_9,-,MCP_3,-,1.1e-31,107.1,all,3300027973_assembled_Ga0209298_10000424,MCP,all_3300027973_assembled_Ga0209298_10000424_vph_9
3300010885_assembled_Ga0133913_10007194_15,-,MCP_3,-,1.1e-31,107.1,all,3300010885_assembled_Ga0133913_10007194,MCP,all_3300010885_assembled_Ga0133913_10007194_vph_15
3300027793_assembled_Ga0209972_10000880_22,-,MCP_3,-,1.9e-31,106.3,all,3300027793_assembled_Ga0209972_10000880,MCP,all_3300027793_assembled_Ga0209972_10000880_vph_22
3300002091_assembled_JGI24028J26656_1000152_13,-,MCP_3,-,9.5e-31,104,all,3300002091_assembled_JGI24028J26656_1000152,MCP,all_3300002091_assembled_JGI24028J26656_1000152_vph_13
KC556925.1_13,-,MCP_3,-,1.6e-30,103.3,all,KC556925.1,MCP,all_KC556925.1_vph_13
3300007734_assembled_Ga0104986_1721_23,-,MCP_3,-,1.1e-29,100.5,all,3300007734_assembled_Ga0104986_1721,MCP,all_3300007734_assembled_Ga0104986_1721_vph_23
3300025646_assembled_Ga0208161_1000494_20,-,MCP_3,-,1.8e-29,99.8,all,3300025646_assembled_Ga0208161_1000494,MCP,all_3300025646_assembled_Ga0208161_1000494_vph_20
3300010885_assembled_Ga0133913_10008424_3,-,MCP_3,-,2.3e-29,99.4,all,3300010885_assembled_Ga0133913_10008424,MCP,all_3300010885_assembled_Ga0133913_10008424_vph_3
3300021168_assembled_Ga0210406_10003258_8,-,MCP_3,-,5.6e-29,98.1,all,3300021168_assembled_Ga0210406_10003258,MCP,all_3300021168_assembled_Ga0210406_10003258_vph_8
3300009183_assembled_Ga0114974_10001000_14,-,MCP_3,-,1.4e-28,96.8,all,3300009183_assembled_Ga0114974_10001000,MCP,all_3300009183_assembled_Ga0114974_10001000_vph_14
3300027769_assembled_Ga0209770_10000312_15,-,MCP_3,-,2e-28,96.3,all,3300027769_assembled_Ga0209770_10000312,MCP,all_3300027769_assembled_Ga0209770_10000312_vph_15
3300035696_assembled_Ga0374055_0049619_20,-,MCP_3,-,4e-28,95.3,all,3300035696_assembled_Ga0374055_0049619,MCP,all_3300035696_assembled_Ga0374055_0049619_vph_20
3300009181_assembled_Ga0114969_10001288_4,-,MCP_3,-,6.8e-28,94.6,all,3300009181_assembled_Ga0114969_10001288,MCP,all_3300009181_assembled_Ga0114969_10001288_vph_4
KJ854379.1_18,-,MCP_3,-,1.2e-27,93.8,all,KJ854379.1,MCP,all_KJ854379.1_vph_18
3300006916_assembled_Ga0070750_10000267_4,-,MCP_3,-,3e-27,92.4,all,3300006916_assembled_Ga0070750_10000267,MCP,all_3300006916_assembled_Ga0070750_10000267_vph_4
3300010885_assembled_Ga0133913_10009566_22,-,MCP_3,-,4.9e-27,91.7,all,3300010885_assembled_Ga0133913_10009566,MCP,all_3300010885_assembled_Ga0133913_10009566_vph_22
3300025401_assembled_Ga0207955_1000104_9,-,MCP_3,-,5.5e-27,91.6,all,3300025401_assembled_Ga0207955_1000104,MCP,all_3300025401_assembled_Ga0207955_1000104_vph_9
3300010885_assembled_Ga0133913_10009934_10,-,MCP_3,-,9.7e-27,90.7,all,3300010885_assembled_Ga0133913_10009934,MCP,all_3300010885_assembled_Ga0133913_10009934_vph_10
