target,t_acc,query,q_acc,evalue,score,sample,contig,query_type
OL828819.1_19,-,MCP_1,-,3.3e-202,670.3,all,OL828819.1,MCP
3300010334_assembled_Ga0136644_10000572_31,-,MCP_1,-,6.3e-202,669.3,all,3300010334_assembled_Ga0136644_10000572,MCP
3300009181_assembled_Ga0114969_10001288_4,-,MCP_1,-,6.9e-202,669.2,all,3300009181_assembled_Ga0114969_10001288,MCP
3300005747_assembled_Ga0076924_1015279_11,-,MCP_1,-,8.4e-201,665.6,all,3300005747_assembled_Ga0076924_1015279,MCP
3300002835_assembled_B570J40625_100004419_14,-,MCP_1,-,1e-200,665.3,all,3300002835_assembled_B570J40625_100004419,MCP
3300010885_assembled_Ga0133913_10009566_22,-,MCP_1,-,4.1e-200,663.3,all,3300010885_assembled_Ga0133913_10009566,MCP
3300027708_assembled_Ga0209188_1000973_21,-,MCP_1,-,1.9e-199,661.2,all,3300027708_assembled_Ga0209188_1000973,MCP
3300027973_assembled_Ga0209298_10000424_9,-,MCP_1,-,9.6e-199,658.8,all,3300027973_assembled_Ga0209298_10000424,MCP
3300009500_assembled_Ga0116229_10007006_18,-,MCP_1,-,1.5e-198,658.2,all,3300009500_assembled_Ga0116229_10007006,MCP
3300010885_assembled_Ga0133913_10010443_8,-,MCP_1,-,1.1e-197,655.3,all,3300010885_assembled_Ga0133913_10010443,MCP
3300009163_assembled_Ga0114970_10000439_25,-,MCP_1,-,4.2e-194,643.5,all,3300009163_assembled_Ga0114970_10000439,MCP
3300009183_assembled_Ga0114974_10000518_25,-,MCP_1,-,2.2e-192,637.8,all,3300009183_assembled_Ga0114974_10000518,MCP
3300010885_assembled_Ga0133913_10015411_6,-,MCP_1,-,9e-191,632.5,all,3300010885_assembled_Ga0133913_10015411,MCP
3300010885_assembled_Ga0133913_10013167_20,-,MCP_1,-,1.6e-190,631.7,all,3300010885_assembled_Ga0133913_10013167,MCP
3300032770_assembled_Ga0335085_10008907_19,-,MCP_1,-,3.9e-190,630.4,all,3300032770_assembled_Ga0335085_10008907,MCP
3300023174_assembled_Ga0214921_10004023_19,-,MCP_1,-,8.3e-187,619.4,all,3300023174_assembled_Ga0214921_10004023,MCP
3300010885_assembled_Ga0133913_10009934_10,-,MCP_1,-,8.7e-181,599.5,all,3300010885_assembled_Ga0133913_10009934,MCP
3300009548_assembled_Ga0116107_1001113_14,-,MCP_1,-,2.7e-180,597.9,all,3300009548_assembled_Ga0116107_1001113,MCP
3300025401_assembled_Ga0207955_1000104_9,-,MCP_1,-,4.3e-180,597.2,all,3300025401_assembled_Ga0207955_1000104,MCP
3300019487_assembled_Ga0187893_10009394_18,-,MCP_1,-,7.4e-180,596.4,all,3300019487_assembled_Ga0187893_10009394,MCP
3300017963_assembled_Ga0180437_10003822_12,-,MCP_1,-,2.6e-177,588,all,3300017963_assembled_Ga0180437_10003822,MCP
3300025487_assembled_Ga0208105_1000377_1,-,MCP_1,-,2.1e-176,585,all,3300025487_assembled_Ga0208105_1000377,MCP
3300027769_assembled_Ga0209770_10000312_16,-,MCP_1,-,1.1e-174,579.3,all,3300027769_assembled_Ga0209770_10000312,MCP
3300009154_assembled_Ga0114963_10000587_15,-,MCP_1,-,2.2e-174,578.3,all,3300009154_assembled_Ga0114963_10000587,MCP
3300027777_assembled_Ga0209829_10000789_16,-,MCP_1,-,3.5e-174,577.7,all,3300027777_assembled_Ga0209829_10000789,MCP
3300017971_assembled_Ga0180438_10003911_13,-,MCP_1,-,2.8e-172,571.4,all,3300017971_assembled_Ga0180438_10003911,MCP
3300021168_assembled_Ga0210406_10003258_8,-,MCP_1,-,5.5e-172,570.4,all,3300021168_assembled_Ga0210406_10003258,MCP
JN603370.1_20,-,MCP_1,-,4e-171,567.6,all,JN603370.1,MCP
MG807318.2_12,-,MCP_1,-,6.5e-167,553.7,all,MG807318.2,MCP
3300014492_assembled_Ga0182013_10004328_13,-,MCP_1,-,2.2e-164,545.3,all,3300014492_assembled_Ga0182013_10004328,MCP
3300006114_assembled_Ga0007815_1000154_12,-,MCP_1,-,1.7e-163,542.4,all,3300006114_assembled_Ga0007815_1000154,MCP
3300024254_assembled_Ga0247661_1000063_8,-,MCP_1,-,2.9e-163,541.6,all,3300024254_assembled_Ga0247661_1000063,MCP
3300007734_assembled_Ga0104986_1721_23,-,MCP_1,-,3e-161,535,all,3300007734_assembled_Ga0104986_1721,MCP
3300009111_assembled_Ga0115026_10000109_6,-,MCP_1,-,2.8e-160,531.7,all,3300009111_assembled_Ga0115026_10000109,MCP
3300027769_assembled_Ga0209770_10000312_15,-,MCP_1,-,2.5e-158,525.3,all,3300027769_assembled_Ga0209770_10000312,MCP
3300000439_assembled_TBL_comb48_EPIDRAFT_1001871_13,-,MCP_1,-,1.5e-154,512.9,all,3300000439_assembled_TBL_comb48_EPIDRAFT_1001871,MCP
3300013094_assembled_Ga0164297_10001420_17,-,MCP_1,-,1.4e-149,496.4,all,3300013094_assembled_Ga0164297_10001420,MCP
3300029911_assembled_Ga0311361_10011007_2,-,MCP_1,-,2e-148,492.6,all,3300029911_assembled_Ga0311361_10011007,MCP
3300002092_assembled_JGI24218J26658_1000290_33,-,MCP_1,-,9.4e-147,487.1,all,3300002092_assembled_JGI24218J26658_1000290,MCP
3300007734_assembled_Ga0104986_1721_22,-,MCP_1,-,3.3e-144,478.7,all,3300007734_assembled_Ga0104986_1721,MCP
3300025646_assembled_Ga0208161_1000494_20,-,MCP_1,-,1.1e-143,477,all,3300025646_assembled_Ga0208161_1000494,MCP
3300009183_assembled_Ga0114974_10001000_14,-,MCP_1,-,9.3e-143,473.9,all,3300009183_assembled_Ga0114974_10001000,MCP
KC556925.1_13,-,MCP_1,-,3.1e-142,472.1,all,KC556925.1,MCP
3300010885_assembled_Ga0133913_10008424_3,-,MCP_1,-,1.6e-141,469.8,all,3300010885_assembled_Ga0133913_10008424,MCP
3300010885_assembled_Ga0133913_10013256_19,-,MCP_1,-,8.3e-141,467.4,all,3300010885_assembled_Ga0133913_10013256,MCP
3300009151_assembled_Ga0114962_10000818_11,-,MCP_1,-,1.1e-139,463.7,all,3300009151_assembled_Ga0114962_10000818,MCP
3300009068_assembled_Ga0114973_10000639_13,-,MCP_1,-,1.1e-139,463.7,all,3300009068_assembled_Ga0114973_10000639,MCP
3300025736_assembled_Ga0207997_1001135_10,-,MCP_1,-,1.6e-138,459.9,all,3300025736_assembled_Ga0207997_1001135,MCP
3300009068_assembled_Ga0114973_10000749_13,-,MCP_1,-,2.3e-138,459.4,all,3300009068_assembled_Ga0114973_10000749,MCP
3300010158_assembled_Ga0114960_10000772_23,-,MCP_1,-,3.3e-138,458.9,all,3300010158_assembled_Ga0114960_10000772,MCP
3300010885_assembled_Ga0133913_10012256_4,-,MCP_1,-,8.4e-138,457.5,all,3300010885_assembled_Ga0133913_10012256,MCP
3300007735_assembled_Ga0104988_10753_21,-,MCP_1,-,7.1e-137,454.4,all,3300007735_assembled_Ga0104988_10753,MCP
3300009184_assembled_Ga0114976_10000413_2,-,MCP_1,-,7.7e-137,454.3,all,3300009184_assembled_Ga0114976_10000413,MCP
3300006109_assembled_Ga0007870_1000162_16,-,MCP_1,-,3.8e-136,452.1,all,3300006109_assembled_Ga0007870_1000162,MCP
3300010885_assembled_Ga0133913_10008183_1,-,MCP_1,-,7.7e-136,451,all,3300010885_assembled_Ga0133913_10008183,MCP
3300032893_assembled_Ga0335069_10005211_21,-,MCP_1,-,8.7e-136,450.9,all,3300032893_assembled_Ga0335069_10005211,MCP
3300017971_assembled_Ga0180438_10002894_8,-,MCP_1,-,2.6e-135,449.3,all,3300017971_assembled_Ga0180438_10002894,MCP
3300002091_assembled_JGI24028J26656_1000152_13,-,MCP_1,-,7.4e-135,447.8,all,3300002091_assembled_JGI24028J26656_1000152,MCP
3300009091_assembled_Ga0102851_10000522_2,-,MCP_1,-,1.4e-134,446.9,all,3300009091_assembled_Ga0102851_10000522,MCP
3300010885_assembled_Ga0133913_10007194_15,-,MCP_1,-,2.1e-134,446.3,all,3300010885_assembled_Ga0133913_10007194,MCP
3300009684_assembled_Ga0114958_10000782_25,-,MCP_1,-,2.7e-134,445.9,all,3300009684_assembled_Ga0114958_10000782,MCP
3300027763_assembled_Ga0209088_10000481_6,-,MCP_1,-,5.5e-134,444.9,all,3300027763_assembled_Ga0209088_10000481,MCP
3300025838_assembled_Ga0208872_1000426_5,-,MCP_1,-,3.7e-132,438.9,all,3300025838_assembled_Ga0208872_1000426,MCP
3300009181_assembled_Ga0114969_10000735_6,-,MCP_1,-,5.1e-131,435.1,all,3300009181_assembled_Ga0114969_10000735,MCP
3300021438_assembled_Ga0213920_1000796_16,-,MCP_1,-,1.4e-129,430.4,all,3300021438_assembled_Ga0213920_1000796,MCP
3300007541_assembled_Ga0099848_1000221_17,-,MCP_1,-,1.6e-129,430.2,all,3300007541_assembled_Ga0099848_1000221,MCP
3300032665_assembled_Ga0316221_1001987_1,-,MCP_1,-,2.3e-128,426.3,all,3300032665_assembled_Ga0316221_1001987,MCP
3300010885_assembled_Ga0133913_10011015_6,-,MCP_1,-,9.6e-128,424.3,all,3300010885_assembled_Ga0133913_10011015,MCP
3300035696_assembled_Ga0374055_0049619_20,-,MCP_1,-,2e-126,420,all,3300035696_assembled_Ga0374055_0049619,MCP
3300028413_assembled_Ga0306870_1000093_9,-,MCP_1,-,1.6e-124,413.6,all,3300028413_assembled_Ga0306870_1000093,MCP
3300010885_assembled_Ga0133913_10017077_19,-,MCP_1,-,1.8e-120,400.3,all,3300010885_assembled_Ga0133913_10017077,MCP
3300009151_assembled_Ga0114962_10001691_9,-,MCP_1,-,1.7e-114,380.6,all,3300009151_assembled_Ga0114962_10001691,MCP
3300009182_assembled_Ga0114959_10001102_9,-,MCP_1,-,3.4e-112,372.9,all,3300009182_assembled_Ga0114959_10001102,MCP
3300002835_assembled_B570J40625_100005612_17,-,MCP_1,-,5.7e-108,359,all,3300002835_assembled_B570J40625_100005612,MCP
3300018022_assembled_Ga0187864_10002390_17,-,MCP_1,-,6.4e-107,355.5,all,3300018022_assembled_Ga0187864_10002390,MCP
KM502591.1_19,-,MCP_1,-,3.3e-97,323.4,all,KM502591.1,MCP
3300014204_assembled_Ga0172381_10002270_24,-,MCP_1,-,2.6e-96,320.5,all,3300014204_assembled_Ga0172381_10002270,MCP
3300009151_assembled_Ga0114962_10001373_20,-,MCP_1,-,4.9e-94,313,all,3300009151_assembled_Ga0114962_10001373,MCP
3300010413_assembled_Ga0136851_10008908_2,-,MCP_1,-,3.4e-93,310.2,all,3300010413_assembled_Ga0136851_10008908,MCP
3300010885_assembled_Ga0133913_10012712_4,-,MCP_1,-,6.2e-92,306,all,3300010885_assembled_Ga0133913_10012712,MCP
3300027749_assembled_Ga0209084_1000714_21,-,MCP_1,-,6.6e-92,305.9,all,3300027749_assembled_Ga0209084_1000714,MCP
3300009160_assembled_Ga0114981_10001519_6,-,MCP_1,-,4.9e-89,296.4,all,3300009160_assembled_Ga0114981_10001519,MCP
3300010885_assembled_Ga0133913_10011061_25,-,MCP_1,-,1.3e-82,275.2,all,3300010885_assembled_Ga0133913_10011061,MCP
3300009151_assembled_Ga0114962_10000842_12,-,MCP_1,-,7.5e-71,236.4,all,3300009151_assembled_Ga0114962_10000842,MCP
3300018022_assembled_Ga0187864_10002390_1,-,MCP_1,-,7.2e-62,206.7,all,3300018022_assembled_Ga0187864_10002390,MCP
3300002835_assembled_B570J40625_100006411_3,-,MCP_1,-,1.1e-61,206.1,all,3300002835_assembled_B570J40625_100006411,MCP
3300005831_assembled_Ga0074471_10193221_21,-,MCP_1,-,4e-61,204.2,all,3300005831_assembled_Ga0074471_10193221,MCP
3300010157_assembled_Ga0114964_10000880_15,-,MCP_1,-,3.3e-57,191.3,all,3300010157_assembled_Ga0114964_10000880,MCP
3300009085_assembled_Ga0105103_10000772_2,-,MCP_1,-,1.2e-56,189.5,all,3300009085_assembled_Ga0105103_10000772,MCP
3300009151_assembled_Ga0114962_10000842_13,-,MCP_1,-,2.2e-56,188.6,all,3300009151_assembled_Ga0114962_10000842,MCP
3300010413_assembled_Ga0136851_10008908_3,-,MCP_1,-,2.4e-54,181.9,all,3300010413_assembled_Ga0136851_10008908,MCP
Cflag_017B_11,-,MCP_1,-,2.9e-48,161.8,all,Cflag_017B,MCP
3300010885_assembled_Ga0133913_10027335_6,-,MCP_1,-,1.3e-47,159.6,all,3300010885_assembled_Ga0133913_10027335,MCP
3300032665_assembled_Ga0316221_1001987_23,-,MCP_1,-,1.5e-43,146.2,all,3300032665_assembled_Ga0316221_1001987,MCP
RCC970_016A_6,-,MCP_1,-,5.1e-38,127.9,all,RCC970_016A,MCP
HQ712116.1_18,-,MCP_1,-,1.2e-37,126.7,all,HQ712116.1,MCP
BVI_055B_3,-,MCP_1,-,1.8e-37,126.1,all,BVI_055B,MCP
BVI_001A_3,-,MCP_1,-,6.4e-33,111.1,all,BVI_001A,MCP
BVI_058_13,-,MCP_1,-,6.6e-32,107.7,all,BVI_058,MCP
E4-10_001_11,-,MCP_1,-,1.3e-24,83.6,all,E4-10_001,MCP
3300032893_assembled_Ga0335069_10005211_22,-,MCP_1,-,1.6e-21,73.4,all,3300032893_assembled_Ga0335069_10005211,MCP
3300035696_assembled_Ga0374055_0049619_19,-,MCP_1,-,2.8e-21,72.6,all,3300035696_assembled_Ga0374055_0049619,MCP
3300010885_assembled_Ga0133913_10027335_7,-,MCP_1,-,5.4e-20,68.4,all,3300010885_assembled_Ga0133913_10027335,MCP
3300009182_assembled_Ga0114959_10001102_10,-,MCP_1,-,1.9e-17,60,all,3300009182_assembled_Ga0114959_10001102,MCP
3300010158_assembled_Ga0114960_10000772_23,-,MCP_2,-,1.5e-254,843.1,all,3300010158_assembled_Ga0114960_10000772,MCP
3300009068_assembled_Ga0114973_10000749_13,-,MCP_2,-,1.1e-253,840.2,all,3300009068_assembled_Ga0114973_10000749,MCP
3300009068_assembled_Ga0114973_10000639_13,-,MCP_2,-,1.2e-253,840.1,all,3300009068_assembled_Ga0114973_10000639,MCP
3300009151_assembled_Ga0114962_10000818_11,-,MCP_2,-,8.5e-251,830.6,all,3300009151_assembled_Ga0114962_10000818,MCP
3300010885_assembled_Ga0133913_10012256_4,-,MCP_2,-,2.3e-250,829.2,all,3300010885_assembled_Ga0133913_10012256,MCP
3300009181_assembled_Ga0114969_10000735_6,-,MCP_2,-,1.2e-249,826.9,all,3300009181_assembled_Ga0114969_10000735,MCP
3300010885_assembled_Ga0133913_10008424_3,-,MCP_2,-,7.9e-249,824.1,all,3300010885_assembled_Ga0133913_10008424,MCP
3300006109_assembled_Ga0007870_1000162_16,-,MCP_2,-,2.5e-247,819.2,all,3300006109_assembled_Ga0007870_1000162,MCP
3300027763_assembled_Ga0209088_10000481_6,-,MCP_2,-,6.6e-247,817.8,all,3300027763_assembled_Ga0209088_10000481,MCP
3300009184_assembled_Ga0114976_10000413_2,-,MCP_2,-,1.2e-245,813.6,all,3300009184_assembled_Ga0114976_10000413,MCP
3300010885_assembled_Ga0133913_10008183_1,-,MCP_2,-,8.7e-244,807.5,all,3300010885_assembled_Ga0133913_10008183,MCP
3300025838_assembled_Ga0208872_1000426_5,-,MCP_2,-,2.1e-243,806.2,all,3300025838_assembled_Ga0208872_1000426,MCP
3300002091_assembled_JGI24028J26656_1000152_13,-,MCP_2,-,4.9e-243,805,all,3300002091_assembled_JGI24028J26656_1000152,MCP
3300009684_assembled_Ga0114958_10000782_25,-,MCP_2,-,2.4e-237,786.2,all,3300009684_assembled_Ga0114958_10000782,MCP
3300010885_assembled_Ga0133913_10007194_15,-,MCP_2,-,3e-228,756.2,all,3300010885_assembled_Ga0133913_10007194,MCP
3300007735_assembled_Ga0104988_10753_21,-,MCP_2,-,8.4e-220,728.3,all,3300007735_assembled_Ga0104988_10753,MCP
3300010885_assembled_Ga0133913_10011015_6,-,MCP_2,-,1.2e-210,698.1,all,3300010885_assembled_Ga0133913_10011015,MCP
3300010885_assembled_Ga0133913_10017077_19,-,MCP_2,-,3.4e-197,653.6,all,3300010885_assembled_Ga0133913_10017077,MCP
3300027749_assembled_Ga0209084_1000714_21,-,MCP_2,-,1.1e-179,595.9,all,3300027749_assembled_Ga0209084_1000714,MCP
3300010885_assembled_Ga0133913_10009135_7,-,MCP_2,-,3e-142,472.2,all,3300010885_assembled_Ga0133913_10009135,MCP
3300010885_assembled_Ga0133913_10010443_8,-,MCP_2,-,3.3e-135,448.9,all,3300010885_assembled_Ga0133913_10010443,MCP
3300009180_assembled_Ga0114979_10000767_5,-,MCP_2,-,1.1e-134,447.2,all,3300009180_assembled_Ga0114979_10000767,MCP
3300010334_assembled_Ga0136644_10000572_31,-,MCP_2,-,1.2e-133,443.8,all,3300010334_assembled_Ga0136644_10000572,MCP
3300027708_assembled_Ga0209188_1000973_21,-,MCP_2,-,3e-132,439.1,all,3300027708_assembled_Ga0209188_1000973,MCP
3300027793_assembled_Ga0209972_10000880_22,-,MCP_2,-,3.6e-130,432.3,all,3300027793_assembled_Ga0209972_10000880,MCP
3300010354_assembled_Ga0129333_10000799_16,-,MCP_2,-,8.6e-127,421.1,all,3300010354_assembled_Ga0129333_10000799,MCP
3300002835_assembled_B570J40625_100004419_14,-,MCP_2,-,6e-124,411.7,all,3300002835_assembled_B570J40625_100004419,MCP
3300009163_assembled_Ga0114970_10000439_25,-,MCP_2,-,6e-123,408.4,all,3300009163_assembled_Ga0114970_10000439,MCP
3300009151_assembled_Ga0114962_10000842_12,-,MCP_2,-,7.3e-123,408.1,all,3300009151_assembled_Ga0114962_10000842,MCP
OL828819.1_19,-,MCP_2,-,1.7e-122,406.9,all,OL828819.1,MCP
3300027973_assembled_Ga0209298_10000424_9,-,MCP_2,-,4.2e-118,392.4,all,3300027973_assembled_Ga0209298_10000424,MCP
3300010885_assembled_Ga0133913_10009566_22,-,MCP_2,-,5.4e-118,392.1,all,3300010885_assembled_Ga0133913_10009566,MCP
3300010885_assembled_Ga0133913_10013167_20,-,MCP_2,-,9.7e-118,391.2,all,3300010885_assembled_Ga0133913_10013167,MCP
3300007540_assembled_Ga0099847_1000087_17,-,MCP_2,-,1.8e-117,390.3,all,3300007540_assembled_Ga0099847_1000087,MCP
3300009183_assembled_Ga0114974_10000518_25,-,MCP_2,-,3.8e-117,389.3,all,3300009183_assembled_Ga0114974_10000518,MCP
3300005582_assembled_Ga0049080_10000091_17,-,MCP_2,-,7.9e-117,388.2,all,3300005582_assembled_Ga0049080_10000091,MCP
3300010885_assembled_Ga0133913_10015411_6,-,MCP_2,-,1.6e-114,380.6,all,3300010885_assembled_Ga0133913_10015411,MCP
KJ854379.1_18,-,MCP_2,-,2e-114,380.3,all,KJ854379.1,MCP
3300006916_assembled_Ga0070750_10000267_4,-,MCP_2,-,3.6e-114,379.4,all,3300006916_assembled_Ga0070750_10000267,MCP
3300009181_assembled_Ga0114969_10001288_4,-,MCP_2,-,7.6e-114,378.4,all,3300009181_assembled_Ga0114969_10001288,MCP
3300007734_assembled_Ga0104986_1721_23,-,MCP_2,-,1.2e-111,371.1,all,3300007734_assembled_Ga0104986_1721,MCP
3300027769_assembled_Ga0209770_10000312_16,-,MCP_2,-,2.2e-110,366.9,all,3300027769_assembled_Ga0209770_10000312,MCP
3300005747_assembled_Ga0076924_1015279_11,-,MCP_2,-,3.5e-108,359.7,all,3300005747_assembled_Ga0076924_1015279,MCP
3300007734_assembled_Ga0104986_1721_22,-,MCP_2,-,8.9e-108,358.3,all,3300007734_assembled_Ga0104986_1721,MCP
3300009151_assembled_Ga0114962_10000842_13,-,MCP_2,-,4.9e-107,355.9,all,3300009151_assembled_Ga0114962_10000842,MCP
3300025401_assembled_Ga0207955_1000104_9,-,MCP_2,-,2.7e-106,353.4,all,3300025401_assembled_Ga0207955_1000104,MCP
3300010885_assembled_Ga0133913_10009934_10,-,MCP_2,-,9.3e-103,341.7,all,3300010885_assembled_Ga0133913_10009934,MCP
3300009500_assembled_Ga0116229_10007006_18,-,MCP_2,-,7.6e-102,338.7,all,3300009500_assembled_Ga0116229_10007006,MCP
3300027777_assembled_Ga0209829_10000789_16,-,MCP_2,-,1.1e-101,338.2,all,3300027777_assembled_Ga0209829_10000789,MCP
3300025487_assembled_Ga0208105_1000377_1,-,MCP_2,-,1.2e-101,338.1,all,3300025487_assembled_Ga0208105_1000377,MCP
3300023174_assembled_Ga0214921_10004023_19,-,MCP_2,-,1.9e-101,337.4,all,3300023174_assembled_Ga0214921_10004023,MCP
3300009154_assembled_Ga0114963_10000587_15,-,MCP_2,-,1.2e-98,328.2,all,3300009154_assembled_Ga0114963_10000587,MCP
3300027769_assembled_Ga0209770_10000312_15,-,MCP_2,-,4.5e-92,306.5,all,3300027769_assembled_Ga0209770_10000312,MCP
3300014492_assembled_Ga0182013_10004328_13,-,MCP_2,-,1.5e-90,301.4,all,3300014492_assembled_Ga0182013_10004328,MCP
KC556925.1_13,-,MCP_2,-,8.1e-89,295.7,all,KC556925.1,MCP
3300006114_assembled_Ga0007815_1000154_12,-,MCP_2,-,4.4e-88,293.3,all,3300006114_assembled_Ga0007815_1000154,MCP
3300009183_assembled_Ga0114974_10001000_14,-,MCP_2,-,2.1e-87,291,all,3300009183_assembled_Ga0114974_10001000,MCP
JN603370.1_20,-,MCP_2,-,4.4e-87,290,all,JN603370.1,MCP
3300017971_assembled_Ga0180438_10003911_13,-,MCP_2,-,3.1e-86,287.2,all,3300017971_assembled_Ga0180438_10003911,MCP
MG807318.2_12,-,MCP_2,-,1.3e-85,285.1,all,MG807318.2,MCP
3300017963_assembled_Ga0180437_10003822_12,-,MCP_2,-,5.6e-85,283,all,3300017963_assembled_Ga0180437_10003822,MCP
3300013094_assembled_Ga0164297_10001420_17,-,MCP_2,-,7.1e-85,282.7,all,3300013094_assembled_Ga0164297_10001420,MCP
3300019487_assembled_Ga0187893_10009394_18,-,MCP_2,-,2.3e-84,281,all,3300019487_assembled_Ga0187893_10009394,MCP
3300032770_assembled_Ga0335085_10008907_19,-,MCP_2,-,5.4e-84,279.8,all,3300032770_assembled_Ga0335085_10008907,MCP
3300009548_assembled_Ga0116107_1001113_14,-,MCP_2,-,2.2e-80,267.9,all,3300009548_assembled_Ga0116107_1001113,MCP
3300029911_assembled_Ga0311361_10011007_2,-,MCP_2,-,8.4e-80,265.9,all,3300029911_assembled_Ga0311361_10011007,MCP
3300024254_assembled_Ga0247661_1000063_8,-,MCP_2,-,4.6e-78,260.2,all,3300024254_assembled_Ga0247661_1000063,MCP
3300032665_assembled_Ga0316221_1001987_1,-,MCP_2,-,8.7e-78,259.3,all,3300032665_assembled_Ga0316221_1001987,MCP
3300009111_assembled_Ga0115026_10000109_6,-,MCP_2,-,9.3e-78,259.2,all,3300009111_assembled_Ga0115026_10000109,MCP
3300021168_assembled_Ga0210406_10003258_8,-,MCP_2,-,1.9e-76,254.9,all,3300021168_assembled_Ga0210406_10003258,MCP
3300002092_assembled_JGI24218J26658_1000290_33,-,MCP_2,-,1.4e-75,252,all,3300002092_assembled_JGI24218J26658_1000290,MCP
3300028413_assembled_Ga0306870_1000093_9,-,MCP_2,-,3.6e-73,244,all,3300028413_assembled_Ga0306870_1000093,MCP
3300025646_assembled_Ga0208161_1000494_20,-,MCP_2,-,1e-71,239.2,all,3300025646_assembled_Ga0208161_1000494,MCP
3300002835_assembled_B570J40625_100005612_17,-,MCP_2,-,4.7e-68,227.1,all,3300002835_assembled_B570J40625_100005612,MCP
3300010885_assembled_Ga0133913_10013256_19,-,MCP_2,-,4.1e-67,224,all,3300010885_assembled_Ga0133913_10013256,MCP
3300009091_assembled_Ga0102851_10000522_2,-,MCP_2,-,5.1e-66,220.4,all,3300009091_assembled_Ga0102851_10000522,MCP
3300000439_assembled_TBL_comb48_EPIDRAFT_1001871_13,-,MCP_2,-,7.6e-66,219.8,all,3300000439_assembled_TBL_comb48_EPIDRAFT_1001871,MCP
3300025736_assembled_Ga0207997_1001135_10,-,MCP_2,-,2.2e-65,218.3,all,3300025736_assembled_Ga0207997_1001135,MCP
3300017971_assembled_Ga0180438_10002894_8,-,MCP_2,-,2.4e-64,214.9,all,3300017971_assembled_Ga0180438_10002894,MCP
3300032893_assembled_Ga0335069_10005211_21,-,MCP_2,-,1.1e-62,209.4,all,3300032893_assembled_Ga0335069_10005211,MCP
3300009182_assembled_Ga0114959_10001102_9,-,MCP_2,-,9.7e-59,196.4,all,3300009182_assembled_Ga0114959_10001102,MCP
3300007541_assembled_Ga0099848_1000221_17,-,MCP_2,-,8.7e-58,193.2,all,3300007541_assembled_Ga0099848_1000221,MCP
3300009151_assembled_Ga0114962_10001691_9,-,MCP_2,-,2.7e-57,191.6,all,3300009151_assembled_Ga0114962_10001691,MCP
3300010885_assembled_Ga0133913_10027335_6,-,MCP_2,-,3.6e-57,191.2,all,3300010885_assembled_Ga0133913_10027335,MCP
3300035696_assembled_Ga0374055_0049619_20,-,MCP_2,-,5e-57,190.7,all,3300035696_assembled_Ga0374055_0049619,MCP
3300021438_assembled_Ga0213920_1000796_16,-,MCP_2,-,1.6e-54,182.5,all,3300021438_assembled_Ga0213920_1000796,MCP
3300018022_assembled_Ga0187864_10002390_17,-,MCP_2,-,3e-49,165,all,3300018022_assembled_Ga0187864_10002390,MCP
KM502591.1_19,-,MCP_2,-,6.7e-42,140.8,all,KM502591.1,MCP
3300009151_assembled_Ga0114962_10001373_20,-,MCP_2,-,1.9e-41,139.2,all,3300009151_assembled_Ga0114962_10001373,MCP
3300009160_assembled_Ga0114981_10001519_6,-,MCP_2,-,9.6e-41,136.9,all,3300009160_assembled_Ga0114981_10001519,MCP
3300014204_assembled_Ga0172381_10002270_24,-,MCP_2,-,1.4e-40,136.4,all,3300014204_assembled_Ga0172381_10002270,MCP
3300010413_assembled_Ga0136851_10008908_2,-,MCP_2,-,5.1e-37,124.7,all,3300010413_assembled_Ga0136851_10008908,MCP
3300010885_assembled_Ga0133913_10027335_7,-,MCP_2,-,1.6e-35,119.7,all,3300010885_assembled_Ga0133913_10027335,MCP
3300010885_assembled_Ga0133913_10012712_4,-,MCP_2,-,2.3e-35,119.2,all,3300010885_assembled_Ga0133913_10012712,MCP
3300010413_assembled_Ga0136851_10008908_3,-,MCP_2,-,1.8e-33,112.9,all,3300010413_assembled_Ga0136851_10008908,MCP
3300010885_assembled_Ga0133913_10011061_25,-,MCP_2,-,3.1e-33,112.1,all,3300010885_assembled_Ga0133913_10011061,MCP
3300032665_assembled_Ga0316221_1001987_23,-,MCP_2,-,1.2e-29,100.3,all,3300032665_assembled_Ga0316221_1001987,MCP
3300018022_assembled_Ga0187864_10002390_1,-,MCP_2,-,1.5e-25,86.7,all,3300018022_assembled_Ga0187864_10002390,MCP
3300005831_assembled_Ga0074471_10193221_21,-,MCP_2,-,1.7e-22,76.7,all,3300005831_assembled_Ga0074471_10193221,MCP
3300002835_assembled_B570J40625_100006411_3,-,MCP_2,-,2.4e-19,66.3,all,3300002835_assembled_B570J40625_100006411,MCP
Cflag_017B_11,-,MCP_2,-,3.2e-19,65.9,all,Cflag_017B,MCP
3300009085_assembled_Ga0105103_10000772_2,-,MCP_2,-,8.3e-19,64.5,all,3300009085_assembled_Ga0105103_10000772,MCP
JN603370.1_20,-,MCP_3,-,3.5e-40,135.2,all,JN603370.1,MCP
3300010885_assembled_Ga0133913_10009135_7,-,MCP_3,-,4.6e-40,134.8,all,3300010885_assembled_Ga0133913_10009135,MCP
MG807318.2_12,-,MCP_3,-,8.1e-39,130.7,all,MG807318.2,MCP
3300010885_assembled_Ga0133913_10011061_25,-,MCP_3,-,6.2e-38,127.7,all,3300010885_assembled_Ga0133913_10011061,MCP
