Genome Abbreviated ID,Genome full ID,Source dataset,Dataset type,Dataset ID,Genome topology,Genome length,ANI clustering status,ANI cluster,Predicted completeness,List of virophage marker genes,gwAAI group,MCP tree group,Blast-based affiliation,Dataset publication doi (or other comparable reference),Proposal doi (for JGI datasets)
IMG_VR_0526,IMGVR_UViG_3300009158_001097|3300009158|Ga0114977_10000945,IMG_VR v3,Metagenome,3300009158,Linear,19258,Clustered,IMG_VR_0600,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0527,IMGVR_UViG_3300009158_001098|3300009158|Ga0114977_10001471,IMG_VR v3,Metagenome,3300009158,Linear,15482,Seed,IMG_VR_0527,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0528,IMGVR_UViG_3300009158_001099|3300009158|Ga0114977_10001522,IMG_VR v3,Metagenome,3300009158,Linear,15236,Clustered,IMG_VR_0611,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0529,IMGVR_UViG_3300009158_001100|3300009158|Ga0114977_10001724,IMG_VR v3,Metagenome,3300009158,Linear,14396,Seed,IMG_VR_0529,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0530,IMGVR_UViG_3300009158_001103|3300009158|Ga0114977_10004058,IMG_VR v3,Metagenome,3300009158,Linear,9356,Clustered,IMG_VR_0616,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0531,IMGVR_UViG_3300009158_001106|3300009158|Ga0114977_10005852,IMG_VR v3,Metagenome,3300009158,Linear,7803,Clustered,IMG_VR_0609,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0532,IMGVR_UViG_3300009159_002149|3300009159|Ga0114978_10000567,IMG_VR v3,Metagenome,3300009159,Linear,31603,Clustered,IMG_VR_0560,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0533,IMGVR_UViG_3300009159_002150|3300009159|Ga0114978_10000595,IMG_VR v3,Metagenome,3300009159,Linear,30948,Clustered,IMG_VR_1304,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0534,IMGVR_UViG_3300009159_002151|3300009159|Ga0114978_10000739,IMG_VR v3,Metagenome,3300009159,Linear,27446,Seed,IMG_VR_0534,Near-complete,ATPase MCP Penton PRO,Group 003,Aquatic virophages 2,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0535,IMGVR_UViG_3300009159_002152|3300009159|Ga0114978_10001109,IMG_VR v3,Metagenome,3300009159,Linear,22567,Clustered,IMG_VR_0605,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0536,IMGVR_UViG_3300009159_002153|3300009159|Ga0114978_10001456,IMG_VR v3,Metagenome,3300009159,Linear,19887,Clustered,IMG_VR_0611,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0537,IMGVR_UViG_3300009159_002154|3300009159|Ga0114978_10001558,IMG_VR v3,Metagenome,3300009159,Linear,19234,Clustered,IMG_VR_0519,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0538,IMGVR_UViG_3300009159_002155|3300009159|Ga0114978_10003482,IMG_VR v3,Metagenome,3300009159,Linear,12862,Seed,IMG_VR_0538,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0539,IMGVR_UViG_3300009159_002158|3300009159|Ga0114978_10008063,IMG_VR v3,Metagenome,3300009159,Linear,8280,Clustered,IMG_VR_0911,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0540,IMGVR_UViG_3300009159_002159|3300009159|Ga0114978_10011570,IMG_VR v3,Metagenome,3300009159,Linear,6773,Clustered,IMG_VR_0527,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0541,IMGVR_UViG_3300009159_002161|3300009159|Ga0114978_10017708,IMG_VR v3,Metagenome,3300009159,Linear,5317,Seed,IMG_VR_0541,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0542,IMGVR_UViG_3300009160_000901|3300009160|Ga0114981_10000712,IMG_VR v3,Metagenome,3300009160,Linear,21711,Seed,IMG_VR_0542,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0543,IMGVR_UViG_3300009160_000902|3300009160|Ga0114981_10000978,IMG_VR v3,Metagenome,3300009160,Linear,18875,Seed,IMG_VR_0543,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0544,IMGVR_UViG_3300009160_000903|3300009160|Ga0114981_10001071,IMG_VR v3,Metagenome,3300009160,Linear,17974,Seed,IMG_VR_0544,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0545,IMGVR_UViG_3300009160_000905|3300009160|Ga0114981_10001519,IMG_VR v3,Metagenome,3300009160,DTR,15111,Seed,IMG_VR_0545,Complete,ATPase MCP Penton PRO,Group 001,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1111/1462-2920.14283 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0546,IMGVR_UViG_3300009161_001275|3300009161|Ga0114966_10001014,IMG_VR v3,Metagenome,3300009161,Linear,26297,Seed,IMG_VR_0546,Near-complete,ATPase MCP Penton PRO,Group 004,SW01 virophages,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0547,IMGVR_UViG_3300009161_001277|3300009161|Ga0114966_10005339,IMG_VR v3,Metagenome,3300009161,Linear,10895,Seed,IMG_VR_0547,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0548,IMGVR_UViG_3300009163_001065|3300009163|Ga0114970_10000439,IMG_VR v3,Metagenome,3300009163,DTR,30914,Seed,IMG_VR_0548,Complete,ATPase MCP Penton PRO,Group 004,SW01 virophages,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0549,IMGVR_UViG_3300009163_001066|3300009163|Ga0114970_10001276,IMG_VR v3,Metagenome,3300009163,Linear,18812,Seed,IMG_VR_0549,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0550,IMGVR_UViG_3300009163_001067|3300009163|Ga0114970_10001434,IMG_VR v3,Metagenome,3300009163,Linear,17820,Clustered,IMG_VR_0584,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0551,IMGVR_UViG_3300009163_001068|3300009163|Ga0114970_10002242,IMG_VR v3,Metagenome,3300009163,Linear,14515,Seed,IMG_VR_0551,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0552,IMGVR_UViG_3300009163_001070|3300009163|Ga0114970_10003848,IMG_VR v3,Metagenome,3300009163,Linear,10956,Clustered,IMG_VR_0445,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0553,IMGVR_UViG_3300009163_001071|3300009163|Ga0114970_10005069,IMG_VR v3,Metagenome,3300009163,Linear,9548,Seed,IMG_VR_0553,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Gulliviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0554,IMGVR_UViG_3300009163_001072|3300009163|Ga0114970_10007548,IMG_VR v3,Metagenome,3300009163,Linear,7752,Seed,IMG_VR_0554,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0555,IMGVR_UViG_3300009163_001073|3300009163|Ga0114970_10008293,IMG_VR v3,Metagenome,3300009163,Linear,7363,Seed,IMG_VR_0555,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0556,IMGVR_UViG_3300009163_001074|3300009163|Ga0114970_10009626,IMG_VR v3,Metagenome,3300009163,Linear,6806,Clustered,IMG_VR_0798,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0557,IMGVR_UViG_3300009164_002009|3300009164|Ga0114975_10000387,IMG_VR v3,Metagenome,3300009164,Linear,33079,Clustered,IMG_VR_1331,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0558,IMGVR_UViG_3300009164_002010|3300009164|Ga0114975_10000394,IMG_VR v3,Metagenome,3300009164,Linear,32910,Clustered,IMG_VR_0764,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0559,IMGVR_UViG_3300009164_002011|3300009164|Ga0114975_10000409,IMG_VR v3,Metagenome,3300009164,DTR,32221,Clustered,IMG_VR_0600,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0560,IMGVR_UViG_3300009164_002012|3300009164|Ga0114975_10000427,IMG_VR v3,Metagenome,3300009164,Linear,31709,Seed,IMG_VR_0560,Near-complete,ATPase MCP Penton PRO,Group 005,Large virophages,Maveriviricetes;Priklausovirales;Gulliviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0561,IMGVR_UViG_3300009164_002013|3300009164|Ga0114975_10000495,IMG_VR v3,Metagenome,3300009164,Linear,29720,Clustered,IMG_VR_0769,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0562,IMGVR_UViG_3300009164_002014|3300009164|Ga0114975_10000616,IMG_VR v3,Metagenome,3300009164,Linear,26840,Seed,IMG_VR_0562,Near-complete,ATPase MCP Penton PRO,Group 005,Large virophages,Maveriviricetes;Priklausovirales;Gulliviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0563,IMGVR_UViG_3300009164_002015|3300009164|Ga0114975_10000879,IMG_VR v3,Metagenome,3300009164,Linear,21953,Seed,IMG_VR_0563,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0564,IMGVR_UViG_3300009164_002016|3300009164|Ga0114975_10001038,IMG_VR v3,Metagenome,3300009164,Linear,20173,Seed,IMG_VR_0564,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0565,IMGVR_UViG_3300009164_002017|3300009164|Ga0114975_10001152,IMG_VR v3,Metagenome,3300009164,Linear,19159,Seed,IMG_VR_0565,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0566,IMGVR_UViG_3300009164_002018|3300009164|Ga0114975_10001466,IMG_VR v3,Metagenome,3300009164,Linear,16799,Seed,IMG_VR_0566,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0567,IMGVR_UViG_3300009164_002019|3300009164|Ga0114975_10001700,IMG_VR v3,Metagenome,3300009164,Linear,15432,Clustered,IMG_VR_1289,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0568,IMGVR_UViG_3300009164_002020|3300009164|Ga0114975_10001773,IMG_VR v3,Metagenome,3300009164,Linear,15040,Clustered,IMG_VR_0545,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0569,IMGVR_UViG_3300009164_002022|3300009164|Ga0114975_10002521,IMG_VR v3,Metagenome,3300009164,Linear,12522,Clustered,IMG_VR_0615,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0570,IMGVR_UViG_3300009164_002023|3300009164|Ga0114975_10002759,IMG_VR v3,Metagenome,3300009164,Linear,11950,Seed,IMG_VR_0570,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0571,IMGVR_UViG_3300009164_002024|3300009164|Ga0114975_10004142,IMG_VR v3,Metagenome,3300009164,Linear,9539,Clustered,IMG_VR_0811,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0572,IMGVR_UViG_3300009164_002026|3300009164|Ga0114975_10007917,IMG_VR v3,Metagenome,3300009164,Linear,6732,Clustered,IMG_VR_0519,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0573,IMGVR_UViG_3300009164_002027|3300009164|Ga0114975_10009724,IMG_VR v3,Metagenome,3300009164,Linear,6017,Seed,IMG_VR_0573,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0574,IMGVR_UViG_3300009169_000252|3300009169|Ga0105097_10001423,IMG_VR v3,Metagenome,3300009169,Linear,11433,Seed,IMG_VR_0574,Partial,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-018-0522-4,10.46936/10.25585/60000718
IMG_VR_0576,IMGVR_UViG_3300009180_001303|3300009180|Ga0114979_10000613,IMG_VR v3,Metagenome,3300009180,Linear,23415,Clustered,PE_249,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0577,IMGVR_UViG_3300009180_001304|3300009180|Ga0114979_10000767,IMG_VR v3,Metagenome,3300009180,DTR,21161,Seed,IMG_VR_0577,Complete,ATPase MCP Penton PRO,Group 004,SW01 virophages,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0578,IMGVR_UViG_3300009180_001305|3300009180|Ga0114979_10000960,IMG_VR v3,Metagenome,3300009180,Linear,19135,Clustered,IMG_VR_0564,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0579,IMGVR_UViG_3300009180_001306|3300009180|Ga0114979_10001118,IMG_VR v3,Metagenome,3300009180,Linear,17875,Clustered,IMG_VR_1340,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0580,IMGVR_UViG_3300009180_001307|3300009180|Ga0114979_10001466,IMG_VR v3,Metagenome,3300009180,Linear,15947,Clustered,IMG_VR_0834,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0581,IMGVR_UViG_3300009180_001308|3300009180|Ga0114979_10001471,IMG_VR v3,Metagenome,3300009180,Linear,15933,Seed,IMG_VR_0581,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0582,IMGVR_UViG_3300009180_001309|3300009180|Ga0114979_10001868,IMG_VR v3,Metagenome,3300009180,Linear,14210,Clustered,IMG_VR_1292,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0583,IMGVR_UViG_3300009180_001312|3300009180|Ga0114979_10011154,IMG_VR v3,Metagenome,3300009180,Linear,5816,Clustered,IMG_VR_0843,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0584,IMGVR_UViG_3300009181_001653|3300009181|Ga0114969_10000735,IMG_VR v3,Metagenome,3300009181,ITR,28443,Seed,IMG_VR_0584,Complete,ATPase MCP Penton PRO,Group 003,Aquatic virophages 2,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0585,IMGVR_UViG_3300009181_001654|3300009181|Ga0114969_10000987,IMG_VR v3,Metagenome,3300009181,Linear,24183,Seed,IMG_VR_0585,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0586,IMGVR_UViG_3300009181_001655|3300009181|Ga0114969_10001026,IMG_VR v3,Metagenome,3300009181,Linear,23698,Clustered,IMG_VR_0799,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0587,IMGVR_UViG_3300009181_001656|3300009181|Ga0114969_10001288,IMG_VR v3,Metagenome,3300009181,DTR,21314,Seed,IMG_VR_0587,Complete,ATPase MCP Penton PRO,Group 001,Aquatic virophages 1,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0588,IMGVR_UViG_3300009181_001657|3300009181|Ga0114969_10001342,IMG_VR v3,Metagenome,3300009181,Linear,20866,Clustered,IMG_VR_0727,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0589,IMGVR_UViG_3300009181_001658|3300009181|Ga0114969_10003145,IMG_VR v3,Metagenome,3300009181,Linear,13357,Clustered,IMG_VR_1283,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0590,IMGVR_UViG_3300009181_001659|3300009181|Ga0114969_10003265,IMG_VR v3,Metagenome,3300009181,Linear,13118,Clustered,IMG_VR_0445,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0591,IMGVR_UViG_3300009182_001500|3300009182|Ga0114959_10000941,IMG_VR v3,Metagenome,3300009182,Linear,26829,Clustered,IMG_VR_1254,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0592,IMGVR_UViG_3300009182_001501|3300009182|Ga0114959_10001102,IMG_VR v3,Metagenome,3300009182,DTR,24280,Seed,IMG_VR_0592,Complete,ATPase MCP Penton PRO,Group 001,Aquatic virophages 1,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0593,IMGVR_UViG_3300009182_001502|3300009182|Ga0114959_10002038,IMG_VR v3,Metagenome,3300009182,Linear,17009,Seed,IMG_VR_0593,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0594,IMGVR_UViG_3300009182_001503|3300009182|Ga0114959_10002069,IMG_VR v3,Metagenome,3300009182,Linear,16828,Seed,IMG_VR_0594,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0595,IMGVR_UViG_3300009182_001504|3300009182|Ga0114959_10002192,IMG_VR v3,Metagenome,3300009182,Linear,16382,Seed,IMG_VR_0595,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0596,IMGVR_UViG_3300009182_001505|3300009182|Ga0114959_10004907,IMG_VR v3,Metagenome,3300009182,Linear,10110,Clustered,IMG_VR_1369,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0597,IMGVR_UViG_3300009182_001506|3300009182|Ga0114959_10005565,IMG_VR v3,Metagenome,3300009182,Linear,9362,Seed,IMG_VR_0597,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0598,IMGVR_UViG_3300009182_001507|3300009182|Ga0114959_10007928,IMG_VR v3,Metagenome,3300009182,Linear,7583,Clustered,IMG_VR_0712,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0599,IMGVR_UViG_3300009182_001509|3300009182|Ga0114959_10011681,IMG_VR v3,Metagenome,3300009182,Linear,5983,Clustered,IMG_VR_1255,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0600,IMGVR_UViG_3300009183_002138|3300009183|Ga0114974_10000518,IMG_VR v3,Metagenome,3300009183,DTR,32223,Seed,IMG_VR_0600,Complete,ATPase MCP Penton PRO,Group 004,SW01 virophages,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0602,IMGVR_UViG_3300009183_002140|3300009183|Ga0114974_10000644,IMG_VR v3,Metagenome,3300009183,Linear,28697,Seed,IMG_VR_0602,Near-complete,ATPase MCP Penton PRO,Group 004,SW01 virophages,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0603,IMGVR_UViG_3300009183_002141|3300009183|Ga0114974_10000724,IMG_VR v3,Metagenome,3300009183,Linear,27214,Seed,IMG_VR_0603,Near-complete,ATPase MCP Penton PRO,Group 005,Large virophages,Maveriviricetes;Priklausovirales;Gulliviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0604,IMGVR_UViG_3300009183_002142|3300009183|Ga0114974_10000843,IMG_VR v3,Metagenome,3300009183,Linear,24747,Clustered,IMG_VR_0794,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0605,IMGVR_UViG_3300009183_002143|3300009183|Ga0114974_10001000,IMG_VR v3,Metagenome,3300009183,DTR,22567,Seed,IMG_VR_0605,Complete,ATPase MCP Penton PRO,Group 004,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0606,IMGVR_UViG_3300009183_002144|3300009183|Ga0114974_10004685,IMG_VR v3,Metagenome,3300009183,Linear,10231,Seed,IMG_VR_0606,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Gulliviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0607,IMGVR_UViG_3300009183_002145|3300009183|Ga0114974_10004954,IMG_VR v3,Metagenome,3300009183,Linear,9938,Clustered,IMG_VR_0617,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0608,IMGVR_UViG_3300009183_002151|3300009183|Ga0114974_10010310,IMG_VR v3,Metagenome,3300009183,Linear,6784,Clustered,IMG_VR_0886,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0609,IMGVR_UViG_3300009184_001536|3300009184|Ga0114976_10000413,IMG_VR v3,Metagenome,3300009184,DTR,26401,Seed,IMG_VR_0609,Complete,ATPase MCP Penton PRO,Group 003,Aquatic virophages 2,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
IMG_VR_0610,IMGVR_UViG_3300009184_001537|3300009184|Ga0114976_10000581,IMG_VR v3,Metagenome,3300009184,Linear,22934,Clustered,IMG_VR_0600,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60000587
